iter	Passed	Remaining
402	2567	3803
403	2571	3794
404	2575	3784
405	2579	3774
406	2583	3764
407	2587	3754
408	2591	3745
409	2595	3735
410	2599	3725
411	2603	3716
412	2607	3706
413	2611	3696
414	2615	3687
415	2619	3677
416	2623	3668
417	2627	3658
418	2631	3649
419	2635	3639
420	2639	3630
421	2643	3621
422	2647	3611
423	2651	3602
424	2655	3593
425	2659	3583
426	2666	3577
427	2670	3568
428	2674	3559
429	2678	3550
430	2682	3541
431	2686	3532
432	2690	3523
433	2694	3514
434	2699	3505
435	2705	3500
436	2709	3491
437	2714	3482
438	2718	3474
439	2722	3465
440	2726	3456
441	2730	3447
442	2734	3438
443	2738	3429
444	2743	3421
445	2747	3412
446	2751	3403
447	2755	3394
448	2759	3386
449	2763	3377
450	2767	3368
451	2771	3360
452	2776	3353
453	2781	3344
454	2785	3336
455	2789	3327
456	2793	3319
457	2797	3310
458	2801	3302
459	2805	3293
460	2810	3285
461	2814	3277
462	2818	3269
463	2823	3261
464	2827	3252
465	2832	3245
466	2836	3237
467	2840	3228
468	2844	3220
469	2848	3211
470	2852	3203
471	2856	3195
472	2860	3186
473	2864	3178
474	2868	3170
475	2872	3162
476	2876	3153
477	2880	3145
478	2884	3137
479	2888	3129
480	2892	3121
481	2897	3113
482	2901	3105
483	2905	3097
484	2909	3089
485	2913	3081
486	2918	3073
487	2922	3065
488	2926	3057
489	2930	3049
490	2934	3041
491	2938	3033
492	2942	3025
493	2946	3017
