iter	MultiClass
0	0.992609024
1	0.9063357035
2	0.82513237
3	0.7550475438
4	0.6939393361
5	0.6416487376
6	0.597880427
7	0.5588255564
8	0.5252948125
9	0.4897485097
10	0.4582605362
11	0.4307667414
12	0.4059542338
13	0.3838077227
14	0.3636564255
15	0.3440609296
16	0.3239845912
17	0.3082326889
18	0.2929963748
19	0.2795444489
20	0.2662035942
21	0.2542127291
22	0.2430368423
23	0.2331158797
24	0.2236429691
25	0.2150655429
26	0.206072251
27	0.198467509
28	0.1907872518
29	0.1840385755
30	0.1773563385
31	0.1710776329
32	0.1651710828
33	0.1591623783
34	0.1540676435
35	0.1489992142
36	0.1453592777
37	0.1400015831
38	0.1357082844
39	0.1316672881
40	0.1278615793
41	0.1242689768
42	0.1210274061
43	0.117639931
44	0.1146003962
45	0.1119510174
46	0.1090620995
47	0.106047972
48	0.1033571879
49	0.1007915179
50	0.09836303393
51	0.09664340019
52	0.09425582886
53	0.09217705727
54	0.09033896128
55	0.08835465908
56	0.08621133963
57	0.08440321287
58	0.08290601571
59	0.0813388586
60	0.07992639542
61	0.07825998465
62	0.07677580516
63	0.07561702728
64	0.07411991755
65	0.0726796627
66	0.07129315535
67	0.07035757701
68	0.06893216769
69	0.06767347654
70	0.06641459465
71	0.06517101129
72	0.06417327722
73	0.06313202381
74	0.06205874681
75	0.06110710303
76	0.06009464661
77	0.0591531078
78	0.05838240782
79	0.05756857395
80	0.05702877839
81	0.05613561471
82	0.05539807479
83	0.05466879209
84	0.05400229295
85	0.0531765302
86	0.05254771709
87	0.05189585686
88	0.05124420325
89	0.0505366087
90	0.04985481103
91	0.04929558436
92	0.0486068964
93	0.04793018897
94	0.04727765719
95	0.0468067646
96	0.04632991552
97	0.04583413601
98	0.04523169597
99	0.04463586807
100	0.04406236013
101	0.0436164697
102	0.04309829871
103	0.0425608476
104	0.04215349356
105	0.04172708193
106	0.04121994972
107	0.04080044429
108	0.0405205965
109	0.04013969103
110	0.03973619541
111	0.03940336307
112	0.039057223
113	0.03873035113
114	0.03833562136
115	0.03791590532
116	0.03753317197
117	0.03720602194
118	0.03686510324
119	0.03645672003
120	0.03614881436
121	0.03586834669
122	0.03550688426
123	0.03513560295
124	0.03484878937
125	0.0345334053
126	0.03422609965
127	0.03386934598
128	0.03361358643
129	0.03326632182
130	0.03302719196
131	0.03277987639
132	0.03247083028
133	0.03220664263
134	0.03198922873
135	0.03177557389
136	0.03150353034
137	0.03120353222
138	0.03093591134
139	0.03067987959
140	0.03038547238
141	0.0301198105
142	0.02991183798
143	0.02971214453
144	0.02949382265
145	0.02925715049
146	0.02903885047
147	0.02886605859
148	0.02867545883
149	0.02843670845
150	0.02826359471
151	0.02809784015
152	0.02785722017
153	0.02766199509
154	0.02745349407
155	0.02721320987
156	0.02704219818
157	0.02682123184
158	0.02662313978
159	0.02641773621
160	0.02618323962
161	0.02604369124
162	0.02581793865
163	0.02566229105
164	0.02548398972
165	0.02532792687
166	0.0251360019
167	0.02499258121
168	0.02481542627
169	0.02464603186
170	0.0245008707
171	0.02429663738
172	0.02413188219
173	0.02400228182
174	0.02387071451
175	0.02371818622
176	0.02352980773
177	0.02339992523
178	0.0232485493
179	0.02306603193
180	0.02295742631
181	0.02277694146
182	0.02261735996
183	0.02250705957
184	0.02234012683
185	0.02224864165
186	0.02213229338
187	0.02201411923
188	0.02190008958
189	0.02176700036
190	0.02161565622
191	0.02147200108
192	0.02134080728
193	0.02122322321
194	0.02109807928
195	0.02096388141
196	0.02081555128
197	0.02069921096
198	0.02056986491
199	0.02044656475
200	0.02031914592
201	0.02019890944
202	0.02006777922
203	0.01998918851
204	0.01987642845
205	0.01978972753
206	0.01969878276
