iter	MultiClass
0	1.761173352
1	1.626072518
2	1.527270514
3	1.447221074
4	1.382900078
5	1.330812133
6	1.28585345
7	1.247182007
8	1.213054739
9	1.184435772
10	1.159334536
11	1.136821306
12	1.116933396
13	1.098956345
14	1.082696592
15	1.06800995
16	1.054702921
17	1.04321562
18	1.031946375
19	1.022764035
20	1.014568157
21	1.006050588
22	0.9993556642
23	0.9921116622
24	0.985674841
25	0.9793774471
26	0.9726283899
27	0.9668837553
28	0.9611788483
29	0.9549400304
30	0.950180843
31	0.9465391051
32	0.9418936428
33	0.9373346799
34	0.9338514716
35	0.9301375768
36	0.9263697387
37	0.9231948317
38	0.9188362203
39	0.9163417593
40	0.9120125945
41	0.9093710907
42	0.906224615
43	0.9020334179
44	0.8995084948
45	0.8972932058
46	0.8945775777
47	0.8920505604
48	0.8891323596
49	0.8869638426
50	0.8843158655
51	0.8829034419
52	0.8808760022
53	0.8786811482
54	0.8767617218
55	0.8740465379
56	0.8723939083
57	0.871072617
58	0.8688134753
59	0.867901835
60	0.8665081329
61	0.8649984845
62	0.8625788459
63	0.8599005973
64	0.8582961993
65	0.8552962587
66	0.8529049244
67	0.85082938
68	0.8487459029
69	0.8478493032
70	0.8460929123
71	0.8446753482
72	0.8432432511
73	0.84138532
74	0.8398544117
75	0.8379136619
76	0.8347337414
77	0.8328104438
78	0.8303873148
79	0.8285423935
80	0.8268815773
81	0.8257466756
82	0.824687104
83	0.8232061407
84	0.8221280381
85	0.8212173498
86	0.8194761898
87	0.8174886681
88	0.8149306811
89	0.8125664453
90	0.8100287663
91	0.8081349154
92	0.8068199068
93	0.8045011103
94	0.802724221
95	0.8010891705
96	0.7989419769
97	0.7978115811
98	0.7967112665
99	0.7953881982
100	0.7948023115
101	0.7942908664
102	0.7935440385
103	0.7894141463
104	0.7869024869
105	0.7857665064
106	0.7841060709
107	0.7817716626
108	0.779666735
109	0.7783597862
110	0.776528319
111	0.7757554715
112	0.7738725996
113	0.7722749921
114	0.7709997746
