iter	Logloss
0	0.6498332506
1	0.6081420384
2	0.5791834285
3	0.5342342077
4	0.5022725309
5	0.4835803428
6	0.4765303537
7	0.4579018154
8	0.4487939042
9	0.4361737283
10	0.4315582875
11	0.4250489996
12	0.4150392768
13	0.4077030139
14	0.4019616802
15	0.3940688573
16	0.3895589421
17	0.3849100692
18	0.3807397049
19	0.3762573071
20	0.3665801488
21	0.3623239324
22	0.3595149651
23	0.3567034046
24	0.3533343626
25	0.3450517762
26	0.3375510741
27	0.3326014829
28	0.3303739998
29	0.3282631435
30	0.3242335159
31	0.3222497233
32	0.3179108909
33	0.3129378972
34	0.3083048188
35	0.29714025
36	0.2884168089
37	0.2850595753
38	0.2844479164
39	0.2815735849
40	0.2772246157
41	0.2739668857
42	0.2691783691
43	0.2670495323
44	0.2629998454
45	0.2593159193
46	0.2573314838
47	0.2533628914
48	0.250729293
49	0.2486369101
50	0.2477345413
51	0.2462891568
52	0.2436460431
53	0.2425438527
54	0.2405953997
55	0.2384861292
56	0.235499007
57	0.2327732129
58	0.2293921053
59	0.2253214804
60	0.2223677903
61	0.2194360883
62	0.2158880984
63	0.2113901846
64	0.2088063701
65	0.2047090852
66	0.2021340574
67	0.2017476585
68	0.1978342721
69	0.1946271832
70	0.193342616
71	0.1905713671
72	0.1886089839
73	0.1867504334
74	0.1837887067
75	0.1834323754
76	0.1823021964
77	0.181325291
78	0.1792294577
79	0.1776224415
80	0.1751391807
81	0.1722511334
82	0.1715719352
83	0.1699611257
84	0.166523987
85	0.1651702838
86	0.1640837809
87	0.1613928334
88	0.1604567538
89	0.1601388267
90	0.1592685507
91	0.1576430074
92	0.1569724137
93	0.1564265905
94	0.1556404735
95	0.1549770912
96	0.1541209917
97	0.1532426255
98	0.151528412
99	0.1506222286
100	0.1493893956
101	0.1485694499
102	0.1478448075
103	0.1465603261
104	0.1442533772
105	0.1437260703
106	0.1424207366
107	0.1409580895
108	0.1395429654
109	0.1377453
110	0.1368306835
111	0.1349653608
112	0.1346545273
113	0.1336168546
114	0.133158448
115	0.1301529916
116	0.1296289637
117	0.12779358
118	0.1266758951
119	0.1257688758
120	0.1254406833
121	0.1246589382
122	0.1229682987
123	0.1212009258
124	0.1200226987
125	0.119230999
126	0.1187017848
127	0.1178983088
128	0.1160779267
129	0.1155346538
130	0.114464792
131	0.1136333166
132	0.112278649
133	0.1115910391
134	0.1107373398
135	0.1100251809
136	0.1092122753
137	0.107811017
138	0.1071345619
139	0.1052030928
140	0.1046181261
141	0.1032439243
142	0.1022402088
143	0.101909766
144	0.1008121405
145	0.1001506334
146	0.09943848513
147	0.09782002481
148	0.09683265043
149	0.09630368265
150	0.09572830629
151	0.09521587243
152	0.09421828624
153	0.09377764584
154	0.09327343073
155	0.09240147237
156	0.09204429455
157	0.09119573872
158	0.09045022257
159	0.09002450879
160	0.08967308516
161	0.08902872814
162	0.08805234245
163	0.08698324139
164	0.08614700296
165	0.08579627048
166	0.08518012186
167	0.08412345072
168	0.08240387949
169	0.08200828681
170	0.08157233978
171	0.08129303643
172	0.08112225908
173	0.08053843359
174	0.07986813449
175	0.07951149244
176	0.07916409782
177	0.07789529308
178	0.0774519631
179	0.07715498463
180	0.07665328229
181	0.07629003418
182	0.07601143805
183	0.07528546151
184	0.07504967893
185	0.07489843047
186	0.07422580076
187	0.0737585057
188	0.07335549258
189	0.07313161486
190	0.07280962655
191	0.07226597861
192	0.07185994909
193	0.07161593705
194	0.07129049301
195	0.07076900997
196	0.07020703862
197	0.0698906652
198	0.06949227044
199	0.06928936819
200	0.06903844469
201	0.06873665499
202	0.06851106279
203	0.06757506896
204	0.06664930837
205	0.06626457043
206	0.06577017066
207	0.06535804406
208	0.0642871053
209	0.06366574362
210	0.06277731027
211	0.06242410788
212	0.0620926632
213	0.06187954378
214	0.06185814504
215	0.06155583028
216	0.06142907732
217	0.06085254369
218	0.06036555365
219	0.06030425597
220	0.06019538708
221	0.05985404668
222	0.05956370107
223	0.05929871356
224	0.05919702937
225	0.05896501863
226	0.05860378501
227	0.05825103803
228	0.05790363269
229	0.0574146335
230	0.05721680502
231	0.05692948116
232	0.05672073364
233	0.05661590448
234	0.05594119597
235	0.05549109384
236	0.0550394969
237	0.05468829294
238	0.0543693371
239	0.05431452226
240	0.0542673261
241	0.05413656556
242	0.05402346943
243	0.05371065354
244	0.05329564984
245	0.053040917
246	0.0529272851
247	0.05268498753
248	0.05249410801
249	0.05214840107
250	0.05187380716
251	0.05165275831
252	0.0514749677
253	0.05078804359
254	0.05061248179
255	0.05038928986
256	0.05004795482
257	0.04981388671
258	0.04966467954
259	0.04928225078
260	0.04902024216
261	0.0486538812
262	0.04836051919
263	0.04823886143
264	0.04800277881
265	0.04782060559
266	0.04770861851
267	0.04731898361
268	0.04694836863
269	0.04679147313
270	0.04652454076
271	0.04630195425
272	0.04615832447
273	0.04595307018
274	0.04579618004
275	0.04552202546
276	0.04547219866
277	0.04539926936
278	0.04512201266
279	0.0448578422
280	0.0446195281
281	0.04416119115
282	0.04391746842
283	0.04367122222
284	0.04352150338
285	0.04337190242
286	0.04319194729
287	0.04315016243
288	0.04302337464
289	0.04292311829
290	0.04276497177
291	0.04271036052
292	0.04264508205
293	0.04227069523
294	0.04218474399
295	0.04170738177
296	0.04153917613
297	0.04135486785
298	0.04125293989
299	0.04095419873
300	0.04083917114
301	0.04078848978
302	0.04062928511
303	0.04050997402
304	0.04045200348
305	0.04016797998
306	0.04000128789
307	0.03962883253
308	0.0395164329
309	0.03930783808
310	0.03912651941
311	0.03899011719
312	0.0388453355
313	0.03879033849
314	0.03866771098
315	0.03852658861
316	0.03842272383
317	0.03814385982
318	0.03784021903
319	0.03778988056
320	0.03762614325
321	0.03743879983
322	0.03733596373
323	0.03716184048
324	0.03708689132
325	0.03695536196
326	0.03688609198
327	0.03673048234
328	0.03664139951
329	0.03656605656
330	0.03653674983
331	0.03632069706
332	0.03620900465
333	0.03616402658
334	0.03604331981
335	0.03595502725
336	0.03570842207
337	0.03556047932
338	0.03553526589
339	0.0354563922
340	0.03525591432
341	0.03518613537
342	0.03484212147
343	0.0346387906
344	0.03446610054
345	0.03433029839
346	0.03424765019
347	0.03422353509
348	0.03400596876
349	0.03385423542
350	0.03372832095
351	0.03350663721
352	0.03347510434
353	0.03331608451
354	0.0332824782
355	0.0332404067
356	0.03299195579
357	0.03285489457
358	0.03271385793
359	0.03239448419
360	0.03228118982
361	0.0321850482
362	0.03204577692
363	0.03178453178
364	0.03167510836
365	0.03154752228
366	0.03146525179
367	0.03136045209
368	0.03127204702
369	0.0311251276
370	0.03100659874
371	0.03086971969
372	0.0307609526
373	0.03057952409
374	0.03050783779
375	0.03033801411
376	0.030255607
377	0.03022995424
378	0.03009492628
379	0.03003626191
380	0.02998190515
381	0.02985154913
382	0.02979413043
383	0.02973018603
384	0.02965807915
385	0.02942464593
386	0.02931469746
387	0.02923524514
388	0.02914254049
389	0.02894544601
390	0.02885559704
391	0.02872870477
392	0.02858378378
393	0.0285631512
394	0.02848356226
395	0.02847068765
396	0.02836571651
397	0.02830631813
398	0.02822308058
399	0.02812550041
400	0.02803757217
401	0.02799380763
402	0.02786727166
403	0.02782444472
404	0.02775340134
405	0.0276534343
406	0.02763275886
407	0.0275203887
408	0.0274758714
409	0.02739628245
410	0.02725475826
411	0.02723845203
412	0.02710596363
413	0.02705857995
414	0.02686780758
415	0.02667851127
416	0.02661526873
417	0.02655805631
418	0.02653336793
419	0.02641516857
420	0.02638665746
421	0.02627308985
422	0.02618869771
423	0.02616289225
424	0.02608942718
425	0.02601481556
426	0.02599992913
427	0.02577028382
428	0.02552386616
429	0.02541629384
430	0.02536328455
431	0.02527440264
432	0.025178403
433	0.02513530549
434	0.02508621002
435	0.02505901958
436	0.02499783977
437	0.02490811402
438	0.02482730887
439	0.0247936088
440	0.02463505509
441	0.02450548129
442	0.02440749929
443	0.02436202831
444	0.0243128873
445	0.02430237813
446	0.02428135175
447	0.02422357945
448	0.02415895998
449	0.02410022328
450	0.02387579104
451	0.02384358845
452	0.02376954475
453	0.02374609401
454	0.02372298616
455	0.02359718151
456	0.0235256613
457	0.02349845211
458	0.02333453264
459	0.0231293239
460	0.02309625336
461	0.02302485905
462	0.02299001244
463	0.02297476436
464	0.02289346363
465	0.02281218432
466	0.0227704959
467	0.02269052388
468	0.0226293012
469	0.02259364289
470	0.02249300078
471	0.02246313417
472	0.022451674
473	0.02239770166
474	0.02234964558
475	0.02228606149
476	0.02218131135
477	0.02212353771
478	0.02201951086
479	0.02194235164
480	0.02190973785
481	0.02181026105
482	0.02175453272
483	0.0217397079
484	0.02167828967
485	0.02165624533
486	0.02161827114
487	0.02156043856
488	0.02147506864
489	0.02138213897
490	0.02135271972
491	0.02117494787
492	0.02112225334
493	0.02105025763
494	0.02100150237
495	0.02089183116
496	0.02081975508
497	0.02070056588
498	0.0206408206
499	0.02055490955
500	0.02052021294
501	0.0204757519
502	0.02037487405
503	0.02028587427
504	0.02026988415
505	0.02022674378
506	0.02017621512
507	0.02014962207
508	0.02007376746
509	0.02006181438
510	0.01999379276
511	0.01997757762
512	0.01996796051
513	0.01993776707
514	0.01990951313
515	0.0198213304
516	0.01969113109
517	0.01966498139
518	0.01965187105
519	0.01961054963
520	0.01957474934
521	0.01952655664
522	0.01945138245
523	0.01944314094
524	0.0194121559
525	0.01932765259
526	0.01928496361
527	0.01920966218
528	0.01918360758
529	0.01910497365
530	0.01903738065
531	0.01900978838
532	0.01899425635
533	0.01890436183
534	0.01887939753
535	0.01877407412
536	0.01872878932
537	0.01871340462
538	0.01869342568
539	0.01863964622
540	0.01855372311
541	0.01846990425
542	0.01844042473
543	0.01840679297
544	0.01834182257
545	0.01829964257
546	0.01826541076
547	0.01822884833
548	0.01814167285
549	0.01810588194
550	0.01801908418
551	0.01797290331
552	0.01792852262
553	0.01787105571
554	0.01783146483
555	0.01778970676
556	0.01772737101
557	0.01769479071
558	0.01765887389
559	0.01760757103
560	0.01758557759
561	0.01753812961
562	0.01750622037
563	0.01747886786
564	0.01740012544
565	0.01736017291
566	0.01725200589
567	0.01720065347
568	0.0171407421
569	0.01712639144
570	0.01710542132
571	0.01707554667
572	0.01702460278
573	0.01699374231
574	0.01692544744
575	0.0168552479
576	0.01683782861
577	0.01680486658
578	0.0167429032
579	0.01665162237
580	0.01662896992
581	0.01659850592
582	0.01657255178
583	0.01652719064
584	0.01650408413
585	0.01645848456
586	0.01642443893
587	0.01635928904
588	0.01633618387
589	0.01626357068
590	0.01624881953
591	0.01621337821
592	0.01615421692
593	0.01612762387
594	0.0161055447
595	0.01606354821
596	0.01601750127
597	0.01600046372
598	0.01593256934
599	0.01587538237
600	0.0158115036
601	0.01579610819
602	0.01574980945
603	0.01571840651
604	0.01568819164
605	0.01561660713
606	0.01557613089
607	0.01557226529
608	0.01547686705
609	0.01546621591
610	0.01544412468
611	0.01543995504
612	0.01542711258
613	0.01537070248
614	0.01528937361
615	0.01525541102
616	0.01521288411
617	0.015167385
618	0.01514657562
619	0.01512551308
620	0.01509808824
621	0.01508998871
622	0.01508684908
623	0.01505464382
624	0.01495578316
625	0.0149207008
626	0.01488881834
627	0.01486473941
628	0.01484785455
629	0.01482623615
630	0.01478776905
631	0.01474831613
632	0.01467552346
633	0.0146430396
634	0.01460191239
635	0.0145898669
636	0.01443248652
637	0.01438043627
638	0.01436791125
639	0.014355113
640	0.01425631662
641	0.01424156012
642	0.01415028331
643	0.01407961363
644	0.01406517725
645	0.01403674651
646	0.01402148504
647	0.01396144374
648	0.01395079259
649	0.01393231649
650	0.01387075494
651	0.01385525639
652	0.01380804951
653	0.0137986869
654	0.01378991631
655	0.01377015435
656	0.01375144251
657	0.01372426413
658	0.01370828339
659	0.01368161668
660	0.01365283366
661	0.01358049371
662	0.01356823257
663	0.01353278187
664	0.0135099486
665	0.01348160894
666	0.01343209556
667	0.01342275169
668	0.01340910558
