iter	RMSE
241	623812.6035
242	621671.9801
243	619974.2094
244	619078.6122
245	618922.4369
246	617409.9207
247	614256.5132
248	613587.3793
249	612580.8369
250	611913.696
251	609212.5231
252	607857.7401
253	606633.354
254	605229.3538
255	603147.5389
256	602163.542
257	600990.6772
258	598630.8627
259	597793.4705
260	596468.1291
261	596333.3965
262	595450.3954
263	595198.5083
264	594958.7615
265	593870.4033
266	592041.6644
267	589922.3887
268	589634.5612
269	588680.9511
270	586584.3672
271	585262.0941
272	584422.0776
273	584221.8952
274	583530.6962
275	582183.7375
276	581723.1437
277	581531.2206
278	580031.5105
279	578975.5393
280	578791.2547
281	578196.5165
282	578020.9325
283	577263.2181
284	576626.8208
285	575234.514
286	574089.4074
287	573544.1321
288	573341.5422
289	573181.603
290	573029.2113
291	572618.567
292	572225.6164
293	572128.1654
294	572035.0842
295	571077.3434
296	570569.0179
297	570153.0006
298	569294.0787
299	568860.5186
300	568773.512
301	568325.9195
302	567048.9415
303	566608.6883
304	566527.8684
305	566368.4425
306	565690.5479
307	565615.9665
308	565590.1578
309	565565.2117
310	565406.6782
311	565383.29
312	564374.6321
313	563304.8777
314	562470.2281
315	562071.9125
316	561310.8925
317	560907.2343
318	560070.4077
319	559496.8936
320	559472.3728
321	559448.6937
322	558089.8311
323	557574.1524
324	557550.7475
325	557528.1461
326	557506.3206
327	556767.9995
328	554767.3953
329	552955.6203
330	551465.0498
331	550973.3359
332	550022.9554
333	548874.1052
334	548407.6926
335	548387.1242
336	548367.0339
337	547420.2066
338	547400.3769
339	547381.2281
340	545624.4448
341	544057.2654
342	542677.2781
343	542241.8422
344	541387.1491
345	540953.0218
346	540933.7028
347	540116.1611
348	538790.0513
349	538665.6386
350	538646.6949
351	538529.2041
352	538165.3693
353	537307.4383
354	537289.4305
355	537272.041
356	537255.2487
357	536466.1907
358	536355.7913
359	536339.9997
360	535740.5596
361	535392.7925
362	534394.5005
363	533720.7305
364	533109.6083
365	532656.0668
366	532235.3975
367	531354.6869
368	530847.7063
369	529468.3432
370	528693.3918
371	528273.7327
372	527884.3623
373	526664.1878
374	526095.816
375	525740.8022
376	525469.2948
377	525074.9852
378	524754.1702
379	524318.9854
380	524303.7524
381	523952.977
382	523938.2665
383	523458.2129
384	523444.4723
385	523431.2037
386	522715.5852
387	522280.8724
388	522268.1311
389	522032.9869
390	521776.6222
391	521764.4527
392	520627.5083
393	519963.5742
394	519951.4223
395	519793.5845
396	518725.1649
397	518058.0154
398	517393.2752
399	517248.7032
400	516531.6138
401	516519.4079
402	515491.1057
403	515478.4236
404	515466.1769
405	515454.351
406	515311.8096
407	515300.8394
408	514963.6399
409	514583.7984
410	514573.0508
411	514440.8277
412	513916.2263
413	513355.0753
414	513344.6246
415	513334.5329
416	513324.7878
417	513173.9022
418	512748.3462
419	511670.0678
420	511542.634
421	511533.3011
422	511411.7575
423	511402.9029
424	511289.2408
425	510899.1867
426	510890.7072
427	510354.5194
428	509230.3342
429	509006.6406
430	507994.7992
431	507132.4814
432	506744.4125
433	505869.1646
434	505380.8538
435	505372.7686
436	504407.4766
437	503962.779
438	502839.1431
439	502830.5342
440	502822.2212
441	502814.1937
442	502806.442
443	502213.7083
444	502206.1034
445	502198.7597
446	502148.2845
447	502141.4089
448	502134.7695
449	501295.2602
450	500849.3619
451	499796.3085
452	499789.2591
453	499782.4519
454	499771.9919
455	499036.1816
456	498979.8667
457	498926.4852
458	498651.0096
459	498644.8825
460	498513.6534
461	498006.5841
462	497833.9308
463	497303.765
464	497242.9974
465	497160.9593
466	496537.5082
467	496293.273
468	495623.0528
469	495328.5123
470	495322.787
471	495317.2585
472	495311.9199
473	495039.6905
474	494775.7972
475	494613.8744
476	494608.6776
477	494459.4947
478	494454.5882
479	494225.6483
480	493471.3659
481	493466.5957
482	493329.2532
483	493324.7493
484	492624.8048
485	492619.999
486	492615.3583
487	492405.3459
488	492400.862
489	492396.5322
490	491920.3517
491	491090.7257
492	490555.2581
493	490376.5832
494	490263.5672
495	489179.878
496	488481.0818
497	488239.1081
498	487663.0787
499	487659.0508
500	487182.745
501	487057.0427
502	487053.0691
503	487049.2319
504	486619.2977
505	486615.7744
506	486237.6865
507	485548.6083
508	485169.702
509	485056.7591
510	484351.4985
511	483813.8354
512	483809.915
513	483799.916
514	483539.3848
515	483014.2199
516	483010.5719
517	482749.6017
518	482746.0034
519	482742.5288
520	482276.1009
521	481873.9057
522	481505.139
523	481313.7322
524	480947.3212
525	480744.2225
526	480421.753
527	480139.5254
528	479788.4038
529	479602.915
530	479274.3324
531	479070.6125
532	478819.6
533	478243.7139
534	478134.194
535	477722.149
536	477255.6277
537	476300.9995
538	476095.4059
539	475664.6561
540	474911.9006
541	474628.62
542	474338.514
543	473640.8567
544	473094.5445
545	472096.4632
546	471563.0678
547	471286.5757
548	471031.4928
549	470771.4984
550	470689.6905
551	470078.0632
552	469686.6271
553	469494.8723
554	469246.71
555	468652.2746
556	468419.7246
557	468241.2877
558	467995.2804
559	467458.8812
560	467266.7483
561	466688.9198
562	466453.2081
563	466282.4965
564	466055.288
565	465830.5255
566	464738.1401
567	463880.8378
568	463486.0199
569	463023.6344
570	462615.9132
571	462425.1954
572	461607.8424
573	461087.4673
574	460677.4049
575	460375.5712
576	460123.7648
577	459346.0028
578	459188.1805
579	458347.4244
580	457995.4486
581	457591.3858
582	456823.5116
583	456468.5352
584	456279.833
585	456157.586
586	455828.8497
587	455480.3768
588	455109.0989
589	454775.0894
590	454698.526
591	454696.2982
592	454623.8792
593	454501.5635
594	454000.4617
595	453998.5252
596	453549.5376
597	453314.455
598	453232.773
599	452638.3885
600	452529.6914
601	452381.4367
602	451807.9024
603	451399.8444
604	451229.6568
605	451046.6627
606	450960.7795
607	450595.3456
608	450027.3639
609	449435.2212
610	449088.0431
611	448942.832
612	448809.5745
613	448551.0748
614	448204.6062
615	448001.8063
616	448000.0539
617	447545.4622
618	447119.8584
619	446936.3516
620	446772.9507
621	446768.1468
622	446611.6337
623	446450.4279
624	445732.4902
625	445492.3296
626	445305.5685
627	445161.3328
628	445100.5305
629	444816.8436
630	444522.6064
631	444161.5644
632	443537.3852
633	443230.5538
634	442615.8318
635	442232.3469
636	441904.4735
637	441783.6396
638	441402.3217
639	441002.3493
640	441000.654
641	440941.6262
642	440588.71
643	440279.3435
644	439957.2433
645	439893.8985
646	439825.8068
647	439545.5651
648	439324.8851
649	439019.5831
650	438772.7585
651	438649.9031
652	438328.5546
653	437681.2752
654	436942.5385
655	436661.5354
656	436336.3644
657	436034.252
658	436032.4204
659	436030.6533
660	436028.9483
661	436027.3032
662	436025.7159
663	435583.6832
664	435372.5943
665	434709.171
666	434439.6945
667	434160.9608
668	434114.3291
669	433462.6957
670	433460.8971
671	433459.2822
672	432962.1172
673	432543.4293
674	432323.6193
675	432066.0143
676	431812.8893
677	431647.7622
678	431646.2288
679	431553.0433
680	431158.88
681	430940.4129
682	430832.303
683	430670.8343
684	430618.4702
685	430616.9802
686	430519.5552
687	430457.9451
688	430265.0089
689	429694.0505
690	429507.2441
691	429322.9742
692	428900.2669
693	428680.6282
694	428305.4362
695	428191.6239
696	428143.3622
697	427964.6152
698	427671.6376
699	427670.1852
700	427289.6761
701	426850.5056
702	426382.4391
703	425966.7131
704	425568.5326
705	425320.8907
706	425242.7377
707	424686.7282
708	424299.7465
709	424109.506
710	423719.2592
711	423293.0377
712	422531.0412
713	422025.7632
714	421943.8716
715	421538.9243
716	421178.6992
717	420815.1918
718	420813.4349
719	420125.1973
720	419909.1536
721	419420.6202
722	419418.8563
723	419417.1558
724	419198.9492
725	419197.2163
726	419195.5453
727	419061.7063
728	418857.0209
729	418480.4619
730	418182.6691
731	417986.4641
732	417689.9355
733	417353.4777
734	417024.1408
735	416883.9089
736	416687.138
737	416622.6514
738	416281.0341
739	415960.7014
740	415893.1874
741	415690.2529
742	415348.789
743	415314.7893
744	414994.7197
745	414545.9169
746	414543.6577
747	414244.7224
748	414242.345
749	414060.2591
750	413777.2689
751	413496.7466
752	413260.7149
753	413258.2132
754	412901.0713
755	412638.2085
756	412471.2254
757	412468.6787
758	412466.2223
759	412463.8527
760	412461.567
761	411877.7165
762	411875.4153
763	411873.1955
764	411871.0542
765	411544.2301
766	411542.216
767	411540.2712
768	411437.8669
769	411435.9561
770	411434.1132
771	411406.7577
772	411405.0228
773	411294.1951
774	411292.658
775	411291.1236
776	410982.9408
777	410839.6922
778	410620.6778
779	410223.7102
780	409851.877
781	409499.7652
782	409184.3856
783	409083.4807
784	409057.5614
785	408711.4317
786	408322.8252
787	407950.9605
788	407479.4449
789	407396.4042
790	407348.7788
791	407301.0541
792	407193.075
793	407094.9637
794	406995.1589
795	406679.945
796	406639.6549
797	406369.5935
798	406076.7899
799	406075.2539
800	406073.7708
801	406072.3388
802	406070.9561
803	405927.4304
804	405926.1008
805	405605.0328
806	405267.9703
807	404795.3786
808	404517.0626
809	404251.1105
810	403934.4264
811	403695.1404
812	403465.8035
813	403173.8899
814	402941.549
815	402694.589
816	402459.2731
817	402234.9651
818	401983.0973
819	401774.2733
820	401556.3863
821	401359.9132
822	401157.3205
823	400910.4637
824	400693.74
825	400619.1147
826	400434.8774
827	400261.1918
828	400062.2009
829	399733.5688
830	399563.226
831	399402.2891
832	399221.3692
833	398922.5852
834	398679.5893
835	398468.0802
836	397898.8387
837	397602.9645
838	397458.4118
839	397208.497
840	396897.3751
841	396535.1679
842	395968.1147
843	395686.8309
844	395308.5526
845	395162.8911
846	395003.6064
847	394700.7794
848	394486.1177
849	394239.5294
850	394070.2897
851	393938.6772
852	393781.9928
853	393658.939
854	393511.2982
855	393144.078
856	393007.5473
857	392877.0373
858	392740.4387
859	392664.8325
860	392461.1279
861	392323.9645
862	392033.0236
863	391907.8968
864	391786.0543
865	391677.8615
866	391561.5747
867	391439.4184
868	391338.9215
869	391188.8104
870	391095.3945
871	390979.1118
872	390484.1584
873	390326.6343
874	390216.1336
875	390130.4172
876	389976.6437
877	389697.8365
878	389451.7704
879	389449.403
880	389091.025
881	388979.9941
882	388978.061
883	388975.9714
884	388928.7612
885	388926.6231
886	388833.5087
887	388715.2138
888	388713.1833
889	388569.1434
890	388473.8834
891	387990.8053
892	387844.8011
893	387842.5195
894	387762.3868
895	387663.5446
896	387580.0524
897	387237.2498
898	387117.4273
899	387005.9244
900	386914.1629
901	386779.1779
902	386661.1444
903	386476.754
904	386474.5292
905	386472.4014
906	386304.7101
907	386179.0232
908	385877.8373
909	385729.0581
910	385726.9336
911	385607.9755
912	385490.6643
913	385488.4094
914	385154.4333
915	385033.9411
916	384838.6977
917	384836.6296
918	384834.763
919	384832.9824
920	384533.6248
921	384531.9412
922	384530.3313
923	384465.2493
924	384463.7664
925	384196.3314
926	383981.0053
927	383942.4765
928	383841.3123
929	383571.7082
930	383359.5181
931	383243.7391
932	383100.5834
933	383001.3241
934	382999.5393
935	382921.3361
936	382743.8389
937	382595.4621
938	382465.4982
939	382372.6346
940	382275.3729
941	382136.8405
942	382134.928
943	382132.9434
944	382012.9664
945	381862.1137
946	381797.0793
947	381668.9813
948	381667.2623
949	381665.6212
950	381664.0163
951	381662.47
952	381660.9913
953	381529.4231
954	381189.2193
955	381187.7732
956	381186.2334
957	381184.888
958	380998.9615
959	380878.667
960	380877.1933
961	380875.7717
962	380874.4015
963	380873.0716
964	380871.7985
965	380870.5583
966	380869.3706
967	380770.8929
968	380655.2242
969	380571.5923
970	380467.366
971	380353.3075
972	380317.0664
973	380315.6441
974	380180.6893
975	379938.3552
976	379937.0748
977	379825.1277
978	379775.4062
979	379649.7533
980	379591.585
981	379395.3756
982	379270.2773
983	379167.0467
984	378919.7114
985	378918.0792
986	378916.5187
987	378655.7006
988	378490.162
989	378389.2521
990	378303.2922
991	378193.6771
992	378192.1961
993	378190.6864
994	377864.1917
995	377792.7652
996	377791.2973
997	377622.0019
998	377430.4104
999	377213.7455
