iter	Passed	Remaining
402	3628	5375
403	3633	5360
404	3639	5346
405	3644	5331
406	3649	5317
407	3654	5302
408	3660	5289
409	3665	5274
410	3671	5261
411	3677	5248
412	3682	5233
413	3687	5219
414	3692	5205
415	3698	5192
416	3703	5178
417	3709	5164
418	3715	5151
419	3724	5142
420	3730	5130
421	3735	5116
422	3741	5103
423	3746	5089
424	3751	5076
425	3757	5063
426	3766	5054
427	3772	5041
428	3777	5027
429	3782	5014
430	3788	5001
431	3793	4988
432	3799	4975
433	3804	4961
434	3809	4948
435	3815	4935
436	3820	4922
437	3825	4908
438	3831	4895
439	3836	4882
440	3842	4870
441	3848	4858
442	3854	4846
443	3859	4833
444	3864	4819
445	3870	4807
446	3875	4794
447	3880	4781
448	3885	4768
449	3891	4755
450	3896	4743
451	3901	4730
452	3907	4717
453	3912	4705
454	3917	4692
455	3922	4680
456	3928	4667
457	3933	4655
458	3939	4643
459	3944	4630
460	3950	4618
461	3955	4606
462	3961	4594
463	3970	4586
464	3975	4574
465	3981	4562
466	3990	4554
467	3996	4543
468	4002	4531
469	4007	4519
470	4012	4507
471	4017	4494
472	4023	4482
473	4028	4470
474	4034	4458
475	4040	4447
476	4045	4435
477	4050	4423
478	4056	4411
479	4061	4400
480	4066	4388
481	4072	4376
482	4077	4364
483	4083	4353
484	4088	4341
485	4093	4329
486	4099	4318
487	4104	4306
488	4110	4295
489	4115	4283
490	4121	4272
491	4126	4261
492	4132	4249
493	4137	4238
494	4143	4226
495	4149	4216
496	4154	4204
497	4162	4195
498	4167	4184
499	4173	4173
500	4178	4161
501	4183	4150
502	4189	4139
503	4195	4129
504	4202	4118
505	4207	4107
506	4213	4096
507	4218	4085
508	4224	4074
509	4229	4063
510	4235	4052
511	4241	4042
512	4247	4031
513	4253	4021
514	4258	4010
515	4264	4000
516	4271	3990
517	4276	3979
518	4281	3968
519	4287	3957
520	4292	3946
521	4297	3935
522	4303	3925
523	4309	3914
524	4314	3903
525	4319	3892
526	4325	3881
527	4330	3871
528	4335	3860
529	4340	3849
530	4346	3838
531	4351	3827
532	4356	3816
533	4361	3806
534	4367	3795
535	4372	3785
536	4377	3774
537	4383	3763
538	4389	3753
539	4394	3743
540	4400	3733
541	4405	3722
542	4411	3712
543	4416	3702
544	4422	3691
545	4427	3681
546	4432	3670
547	4437	3660
548	4443	3650
549	4448	3640
550	4454	3629
551	4459	3619
552	4464	3608
553	4470	3598
554	4475	3588
555	4480	3578
556	4486	3567
557	4491	3557
558	4496	3547
559	4502	3537
560	4507	3526
561	4512	3516
562	4518	3507
563	4523	3496
564	4529	3486
